Residue,Coil.mu,Coil.sd,Helix.mu,Helix.sd,Beta.mu,Beta.sd,Avg.mu,Avg.sd
Ala,19.06,1.26,18.26,0.88,21.14,2.05,19.22,1.78
Cys(ox),40.97,3.19,39.44,2.86,43.9,4.18,41.62,3.95
Cys(red),29.35,2.52,27.75,2.07,30.16,1.97,29.14,2.33
Cys,35.16,2.855,33.595,2.465,37.03,3.075,35.38,3.14
Asp,40.85,1.32,40.51,1.33,42.3,1.62,41.03,1.5
Glu,30.2,1.55,29.37,0.99,32.01,1.98,30.19,1.74
Phe,39.45,1.98,38.78,1.31,41.54,1.74,40.08,2.09
Gly,NA,NA,NA,NA,NA,NA,NA,NA
His,29.97,2.42,29.54,1.46,31.85,2.22,30.29,2.23
Ile,38.65,1.69,37.6,1.15,39.86,1.98,38.81,1.93
Lys,32.79,1.67,32.27,0.88,34.63,1.78,33.09,1.72
Leu,42.38,1.64,41.65,1.05,43.79,2,42.52,1.8
Met,33.36,2.26,32.27,1.66,35.05,2.29,33.25,2.28
Asn,38.55,1.41,38.61,1.31,40.12,2.07,38.93,1.66
Pro,31.94,0.95,31.46,0.95,32.27,1.2,31.94,1.02
Gln,29.14,1.69,28.51,0.92,31.28,1.93,29.39,1.8
Arg,30.66,1.67,30.14,1.14,32.19,1.8,30.83,1.68
Ser,64.03,1.27,63.08,1.12,65.16,1.51,64.15,1.5
Thr,70.12,1.33,68.88,1.17,70.75,1.51,70.07,1.54
Val,32.71,1.37,31.49,0.72,33.91,1.61,32.87,1.68
Trp,29.67,1.74,29.3,1.4,31.5,1.7,30.23,1.88
Tyr,38.95,1.84,38.25,1.11,40.97,1.85,39.71,2.02
